away_team,home_team,season_week,predicted_winner,actual_winner,win_probability
TB,DAL,1,TB,TB,80.39%
ATL,PHI,1,ATL,PHI,60.88%
BUF,PIT,1,BUF,PIT,74.08%
CAR,NYJ,1,CAR,CAR,60.22%
CIN,MIN,1,MIN,CIN,66.92%
DET,SF,1,SF,SF,81.55%
HOU,JAX,1,JAX,HOU,66.40%
IND,SEA,1,SEA,SEA,62.33%
TEN,ARI,1,TEN,ARI,61.79%
WAS,LAC,1,WAS,LAC,53.23%
KC,CLE,1,KC,KC,64.76%
NE,MIA,1,NE,MIA,61.07%
NO,GB,1,GB,NO,68.31%
NYG,DEN,1,DEN,DEN,61.48%
LA,CHI,1,LA,LA,81.74%
LV,BAL,1,BAL,LV,61.81%
WAS,NYG,2,WAS,WAS,67.33%
CAR,NO,2,NO,CAR,57.79%
CHI,CIN,2,CHI,CHI,58.07%
CLE,HOU,2,CLE,CLE,86.59%
IND,LA,2,LA,LA,63.99%
JAX,DEN,2,DEN,DEN,73.86%
MIA,BUF,2,BUF,BUF,65.15%
NYJ,NE,2,NE,NE,68.81%
PHI,SF,2,SF,SF,61.54%
PIT,LV,2,PIT,LV,69.16%
ARI,MIN,2,ARI,ARI,59.33%
TB,ATL,2,TB,TB,85.71%
LAC,DAL,2,LAC,DAL,55.83%
SEA,TEN,2,SEA,TEN,69.66%
BAL,KC,2,KC,BAL,64.66%
GB,DET,2,GB,GB,80.53%
HOU,CAR,3,CAR,CAR,74.09%
BUF,WAS,3,BUF,BUF,77.34%
CLE,CHI,3,CLE,CLE,72.34%
DET,BAL,3,BAL,BAL,75.44%
JAX,ARI,3,ARI,ARI,76.57%
KC,LAC,3,KC,LAC,66.65%
NE,NO,3,NE,NO,62.63%
NYG,ATL,3,NYG,ATL,56.45%
PIT,CIN,3,PIT,CIN,62.46%
TEN,IND,3,TEN,TEN,66.89%
DEN,NYJ,3,DEN,DEN,82.07%
LV,MIA,3,LV,LV,64.00%
LA,TB,3,TB,LA,54.31%
MIN,SEA,3,SEA,MIN,60.80%
SF,GB,3,SF,GB,58.81%
DAL,PHI,3,DAL,DAL,58.42%
CIN,JAX,4,CIN,CIN,76.32%
ATL,WAS,4,WAS,WAS,51.11%
BUF,HOU,4,BUF,BUF,94.16%
CHI,DET,4,CHI,CHI,57.57%
DAL,CAR,4,DAL,DAL,67.00%
MIA,IND,4,MIA,IND,57.97%
MIN,CLE,4,CLE,CLE,61.23%
NO,NYG,4,NO,NYG,75.42%
NYJ,TEN,4,TEN,NYJ,72.67%
PHI,KC,4,KC,KC,77.16%
LA,ARI,4,LA,ARI,63.79%
SF,SEA,4,SF,SEA,54.55%
DEN,BAL,4,DEN,BAL,53.12%
GB,PIT,4,GB,GB,73.04%
NE,TB,4,TB,TB,73.90%
LAC,LV,4,LAC,LAC,55.56%
SEA,LA,5,LA,LA,56.55%
ATL,NYJ,5,ATL,ATL,62.59%
CAR,PHI,5,CAR,PHI,58.97%
CIN,GB,5,GB,GB,63.82%
HOU,NE,5,NE,NE,74.76%
JAX,TEN,5,TEN,TEN,71.82%
MIN,DET,5,MIN,MIN,78.00%
PIT,DEN,5,DEN,PIT,55.46%
TB,MIA,5,TB,TB,84.47%
WAS,NO,5,NO,NO,57.40%
LAC,CLE,5,LAC,LAC,57.46%
LV,CHI,5,LV,CHI,73.90%
ARI,SF,5,ARI,ARI,70.64%
DAL,NYG,5,DAL,DAL,71.78%
KC,BUF,5,KC,BUF,56.73%
BAL,IND,5,BAL,BAL,74.52%
PHI,TB,6,TB,TB,75.22%
JAX,MIA,6,MIA,JAX,65.20%
BAL,LAC,6,BAL,BAL,56.86%
CAR,MIN,6,MIN,MIN,62.28%
CHI,GB,6,GB,GB,70.44%
DET,CIN,6,CIN,CIN,61.15%
IND,HOU,6,IND,IND,87.63%
NYG,LA,6,LA,LA,77.17%
WAS,KC,6,KC,KC,76.25%
CLE,ARI,6,CLE,ARI,61.20%
DEN,LV,6,DEN,LV,67.75%
NE,DAL,6,DAL,DAL,66.65%
PIT,SEA,6,PIT,PIT,67.74%
TEN,BUF,6,BUF,TEN,74.12%
CLE,DEN,7,CLE,CLE,60.32%
BAL,CIN,7,BAL,CIN,73.49%
GB,WAS,7,GB,GB,75.54%
MIA,ATL,7,ATL,ATL,61.34%
NE,NYJ,7,NE,NE,72.11%
NYG,CAR,7,CAR,NYG,60.68%
TEN,KC,7,KC,TEN,68.11%
LA,DET,7,LA,LA,91.50%
LV,PHI,7,LV,LV,55.08%
ARI,HOU,7,ARI,ARI,95.86%
TB,CHI,7,TB,TB,86.92%
SF,IND,7,SF,IND,52.87%
SEA,NO,7,NO,NO,71.28%
ARI,GB,8,ARI,GB,73.72%
ATL,CAR,8,ATL,CAR,59.25%
BUF,MIA,8,BUF,BUF,87.80%
CHI,SF,8,SF,SF,66.80%
CLE,PIT,8,CLE,PIT,67.30%
DET,PHI,8,PHI,PHI,62.30%
HOU,LA,8,LA,LA,92.90%
IND,TEN,8,IND,TEN,59.05%
NYJ,CIN,8,CIN,NYJ,84.84%
LAC,NE,8,LAC,NE,54.29%
SEA,JAX,8,SEA,SEA,59.24%
DEN,WAS,8,DEN,DEN,60.58%
NO,TB,8,TB,NO,65.60%
MIN,DAL,8,MIN,DAL,56.58%
KC,NYG,8,KC,KC,79.05%
IND,NYJ,9,IND,IND,82.75%
BAL,MIN,9,BAL,BAL,69.74%
CAR,NE,9,NE,NE,61.27%
CIN,CLE,9,CIN,CLE,54.69%
DAL,DEN,9,DAL,DEN,81.10%
JAX,BUF,9,BUF,JAX,91.05%
MIA,HOU,9,MIA,MIA,61.52%
NO,ATL,9,NO,ATL,73.41%
NYG,LV,9,LV,NYG,64.23%
PHI,LAC,9,LAC,LAC,57.39%
KC,GB,9,KC,KC,72.73%
SF,ARI,9,SF,ARI,71.09%
LA,TEN,9,LA,TEN,71.04%
PIT,CHI,9,PIT,PIT,74.91%
DAL,ATL,10,DAL,DAL,79.70%
IND,JAX,10,IND,IND,79.84%
NE,CLE,10,NE,NE,52.42%
NYJ,BUF,10,BUF,NYJ,89.01%
TEN,NO,10,TEN,TEN,64.18%
WAS,TB,10,TB,WAS,87.09%
LAC,MIN,10,LAC,LAC,55.26%
DEN,PHI,10,DEN,DEN,59.17%
LV,KC,10,KC,LV,63.17%
SF,LA,10,LA,SF,66.58%
ATL,NE,11,NE,ATL,59.22%
