,home_team,away_team,week,predicted_winner,actual_winner,win_probability,correct_prediction
2672,TB,DAL,1,TB,TB,0.803870255,1
2673,ATL,PHI,1,ATL,PHI,0.608758481,0
2674,BUF,PIT,1,BUF,PIT,0.740797276,0
2675,CAR,NYJ,1,CAR,CAR,0.602181091,1
2676,CIN,MIN,1,MIN,CIN,0.669177987,0
2677,DET,SF,1,SF,SF,0.815480069,1
2678,HOU,JAX,1,JAX,HOU,0.664007143,0
2679,IND,SEA,1,SEA,SEA,0.62331018,1
2680,TEN,ARI,1,TEN,ARI,0.617877962,0
2681,WAS,LAC,1,WAS,LAC,0.532310528,0
2682,KC,CLE,1,KC,KC,0.64763907,1
2683,NE,MIA,1,NE,MIA,0.610724015,0
2684,NO,GB,1,GB,NO,0.683052169,0
2685,NYG,DEN,1,DEN,DEN,0.614752113,1
2686,LA,CHI,1,LA,LA,0.817420072,1
2687,LV,BAL,1,BAL,LV,0.618084761,0
2688,WAS,NYG,2,WAS,WAS,0.673338529,1
2689,CAR,NO,2,NO,CAR,0.577936397,0
2690,CHI,CIN,2,CHI,CHI,0.580653933,1
2691,CLE,HOU,2,CLE,CLE,0.865866457,1
2692,IND,LA,2,LA,LA,0.63987617,1
2693,JAX,DEN,2,DEN,DEN,0.738617645,1
2694,MIA,BUF,2,BUF,BUF,0.651483365,1
2695,NYJ,NE,2,NE,NE,0.688115981,1
2696,PHI,SF,2,SF,SF,0.615401346,1
2697,PIT,LV,2,PIT,LV,0.691647418,0
2698,ARI,MIN,2,ARI,ARI,0.593343414,1
2699,TB,ATL,2,TB,TB,0.857093219,1
2700,LAC,DAL,2,LAC,DAL,0.55831907,0
2701,SEA,TEN,2,SEA,TEN,0.69659871,0
2702,BAL,KC,2,KC,BAL,0.646582693,0
2703,GB,DET,2,GB,GB,0.805267111,1
2704,HOU,CAR,3,CAR,CAR,0.740939379,1
2705,BUF,WAS,3,BUF,BUF,0.773378976,1
2706,CLE,CHI,3,CLE,CLE,0.723356995,1
2707,DET,BAL,3,BAL,BAL,0.754444738,1
